PHCode_Pro,Pro_Name,Label,Prov,Name_2,PHCode_Pro_SS
PH012800000,ILOCOS NORTE,ILOCOS NORTE,Ilocos Norte,IlocosNorte,PH012800000_LH_LH1
PH012900000,ILOCOS SUR,ILOCOS SUR,Ilocos Sur,IlocosSur,PH012900000_LH_LH1
PH013300000,LA UNION,LA UNION,La Union,LaUnion,PH013300000_LH_LH1
PH015500000,PANGASINAN,PANGASINAN,Pangasinan,Pangasinan,PH015500000_LH_LH1
PH020900000,BATANES,BATANES,Batanes,Batanes,PH020900000_LH_LH1
PH021500000,CAGAYAN,CAGAYAN,Cagayan,Cagayan,PH021500000_LH_LH1
PH023100000,ISABELA,ISABELA,Isabela,Isabela,PH023100000_LH_LH1
PH025000000,NUEVA VIZCAYA,NUEVA VIZCAYA,Nueva Vizcaya,NuevaVizcaya,PH025000000_LH_LH1
PH025700000,QUIRINO,QUIRINO,Quirino,Quirino,PH025700000_LH_LH1
PH030800000,BATAAN,BATAAN,Bataan,Bataan,PH030800000_LH_LH1
PH031400000,BULACAN,BULACAN,Bulacan,Bulacan,PH031400000_LH_LH1
PH034900000,NUEVA ECIJA,NUEVA ECIJA,Nueva Ecija,NuevaEcija,PH034900000_LH_LH1
PH035400000,PAMPANGA,PAMPANGA,Pampanga,Pampanga,PH035400000_LH_LH1
PH036900000,TARLAC,TARLAC,Tarlac,Tarlac,PH036900000_LH_LH1
PH037100000,ZAMBALES,ZAMBALES,Zambales,Zambales,PH037100000_LH_LH1
PH037700000,AURORA,AURORA,Aurora,Aurora,PH037700000_LH_LH1
PH041000000,BATANGAS,BATANGAS,Batangas,Batangas,PH041000000_LH_LH1
PH042100000,CAVITE,CAVITE,Cavite,Cavite,PH042100000_LH_LH1
PH043400000,LAGUNA,LAGUNA,Laguna,Laguna,PH043400000_LH_LH1
PH045600000,QUEZON,QUEZON,Quezon,Quezon,PH045600000_LH_LH1
PH045800000,RIZAL,RIZAL,Rizal,Rizal,PH045800000_LH_LH1
PH050500000,ALBAY,ALBAY,Albay,Albay,PH050500000_LH_LH1
PH051600000,CAMARINES NORTE,CAMARINES NORTE,Camarines Norte,CamarinesNorte,PH051600000_LH_LH1
PH051700000,CAMARINES SUR,CAMARINES SUR,Camarines Sur,CamarinesSur,PH051700000_LH_LH1
PH052000000,CATANDUANES,CATANDUANES,Catanduanes,Catanduanes,PH052000000_LH_LH1
PH054100000,MASBATE,MASBATE,Masbate,Masbate,PH054100000_LH_LH1
PH056200000,SORSOGON,SORSOGON,Sorsogon,Sorsogon,PH056200000_LH_LH1
PH060400000,AKLAN,AKLAN,Aklan,Aklan,PH060400000_LH_LH1
PH060600000,ANTIQUE,ANTIQUE,Antique,Antique,PH060600000_LH_LH1
PH061900000,CAPIZ,CAPIZ,Capiz,Capiz,PH061900000_LH_LH1
PH063000000,ILOILO,ILOILO,Iloilo,Iloilo,PH063000000_LH_LH1
PH067900000,GUIMARAS,GUIMARAS,Guimaras,Guimaras,PH067900000_LH_LH1
PH071200000,BOHOL,BOHOL,Bohol,Bohol,PH071200000_LH_LH1
PH072200000,CEBU,CEBU,Cebu,Cebu,PH072200000_LH_LH1
PH076100000,SIQUIJOR,SIQUIJOR,Siquijor,Siquijor,PH076100000_LH_LH1
PH082600000,EASTERN SAMAR,EASTERN SAMAR,Eastern Samar,EasternSamar,PH082600000_LH_LH1
PH083700000,LEYTE,LEYTE,Leyte,Leyte,PH083700000_LH_LH1
PH084800000,NORTHERN SAMAR,NORTHERN SAMAR,Northern Samar,NorthernSamar,PH084800000_LH_LH1
PH086000000,SAMAR (WESTERN SAMAR),SAMAR,Samar (Western Samar),Samar,PH086000000_LH_LH1
PH086400000,SOUTHERN LEYTE,SOUTHERN LEYTE,Southern Leyte,SouthernLeyte,PH086400000_LH_LH1
PH087800000,BILIRAN,BILIRAN,Biliran,Biliran,PH087800000_LH_LH1
PH097200000,ZAMBOANGA DEL NORTE,ZAMBOANGA DEL NORTE,Zamboanga Del Norte,ZamboangaDelNorte,PH097200000_LH_LH1
PH097300000,ZAMBOANGA DEL SUR,ZAMBOANGA DEL SUR,Zamboanga Del Sur,ZamboangaDelSur,PH097300000_LH_LH1
PH098300000,ZAMBOANGA SIBUGAY,ZAMBOANGA SIBUGAY,Zamboanga Sibugay,ZamboangaSibugay,PH098300000_LH_LH1
PH099700000,CITY OF ISABELA (Not a Province),ISABELA CITY,City Of Isabela (Not A Province),CityOfIsabela(NotAProvince),PH099700000_LH_LH1
PH101300000,BUKIDNON,BUKIDNON,Bukidnon,Bukidnon,PH101300000_LH_LH1
PH101800000,CAMIGUIN,CAMIGUIN,Camiguin,Camiguin,PH101800000_LH_LH1
PH103500000,LANAO DEL NORTE,LANAO DEL NORTE,Lanao Del Norte,LanaoDelNorte,PH103500000_LH_LH1
PH104200000,MISAMIS OCCIDENTAL,MISAMIS OCCIDENTAL,Misamis Occidental,MisamisOccidental,PH104200000_LH_LH1
PH104300000,MISAMIS ORIENTAL,MISAMIS ORIENTAL,Misamis Oriental,MisamisOriental,PH104300000_LH_LH1
PH112300000,DAVAO DEL NORTE,DAVAO DEL NORTE,Davao Del Norte,DavaoDelNorte,PH112300000_LH_LH1
PH112400000,DAVAO DEL SUR,DAVAO DEL SUR,Davao Del Sur,DavaoDelSur,PH112400000_LH_LH1
PH112500000,DAVAO ORIENTAL,DAVAO ORIENTAL,Davao Oriental,DavaoOriental,PH112500000_LH_LH1
PH118200000,COMPOSTELA VALLEY,COMPOSTELA VALLEY,Compostela Valley,CompostelaValley,PH118200000_LH_LH1
PH118600000,DAVAO OCCIDENTAL,DAVAO OCCIDENTAL,Davao Occidental,DavaoOccidental,PH118600000_LH_LH1
PH124700000,COTABATO (NORTH COTABATO),COTABATO,Cotabato (North Cotabato),Cotabato,PH124700000_LH_LH1
PH126300000,SOUTH COTABATO,SOUTH COTABATO,South Cotabato,SouthCotabato,PH126300000_LH_LH1
PH126500000,SULTAN KUDARAT,SULTAN KUDARAT,Sultan Kudarat,SultanKudarat,PH126500000_LH_LH1
PH128000000,SARANGANI,SARANGANI,Sarangani,Sarangani,PH128000000_LH_LH1
PH129800000,COTABATO CITY (Not a Province),COTABATO CITY,Cotabato City (Not A Province),CotabatoCity(NotAProvince),PH129800000_LH_LH1
PH133900000,METROPOLITAN MANILA,METRO MANILA,Metropolitan Manila,MetroManila,PH133900000_LH_LH1
PH140100000,ABRA,ABRA,Abra,Abra,PH140100000_LH_LH1
PH141100000,BENGUET,BENGUET,Benguet,Benguet,PH141100000_LH_LH1
PH142700000,IFUGAO,IFUGAO,Ifugao,Ifugao,PH142700000_LH_LH1
